,loss,dice_coef,val_loss,val_dice_coef,epoch_time
0,0.36056438088417053,0.821846067905426,0.19927164912223816,0.8998624086380005,266.0457176000018
1,0.11905935406684875,0.9404087662696838,0.026657650247216225,0.9864944219589233,264.6118506999992
2,0.03609055280685425,0.9818187355995178,0.014753985218703747,0.9925147891044617,264.7029521999975
3,0.016755860298871994,0.9915213584899902,0.010406207293272018,0.9947158098220825,264.20949219999966
4,0.01025086734443903,0.9948005676269531,0.009387207217514515,0.9952265620231628,264.6681908999999
5,0.007629177533090115,0.9961240887641907,0.007378592621535063,0.996245801448822,263.87609959999827
6,0.006175069138407707,0.9968594312667847,0.006978457793593407,0.9964497685432434,263.88937929999884
7,0.005258715711534023,0.9973240494728088,0.006215402856469154,0.9968332648277283,263.8225609000001
8,0.004600679501891136,0.9976571798324585,0.006155894137918949,0.9968642592430115,263.92078910000055
9,0.004209389444440603,0.9978553652763367,0.005793554242700338,0.9970479011535645,264.3611141000001
10,0.0038494851905852556,0.9980372786521912,0.005859242286533117,0.9970131516456604,264.4857654999978
11,0.0036049082409590483,0.9981629252433777,0.005732284393161535,0.997076153755188,264.1632430999998
12,0.0033755884505808353,0.9982794523239136,0.0057948133908212185,0.9970481395721436,264.4705666000009
13,0.003191357711330056,0.9983727931976318,0.005732801277190447,0.9970791935920715,264.25229580000087
14,0.0030262155923992395,0.9984568357467651,0.005583921447396278,0.9971546530723572,264.46675289999985
15,0.002923073247075081,0.9985091090202332,0.005609766114503145,0.9971367716789246,264.19593950000126
16,0.0028783369343727827,0.9985319972038269,0.005906180944293737,0.9969875812530518,263.9595515000001
17,0.0026853883173316717,0.9986313581466675,0.00549048138782382,0.9971957802772522,263.1650880999987
18,0.002602357417345047,0.9986737966537476,0.005749939009547234,0.9970718622207642,264.0021282000016
19,0.0025087809190154076,0.9987191557884216,0.0057845767587423325,0.9970466494560242,263.28318919999947
20,0.0024522424209862947,0.998746931552887,0.0056210411712527275,0.9971297383308411,263.7032368
21,0.0023825180251151323,0.9987822771072388,0.005548912566155195,0.9971659779548645,264.0553153999972
22,0.0023098639212548733,0.9988203048706055,0.005467242561280727,0.9972106218338013,263.97963340000206
23,0.00224877567961812,0.998851478099823,0.005699594970792532,0.9970919489860535,264.1555647999994
24,0.0021921778097748756,0.9988812208175659,0.005529137793928385,0.9971796870231628,264.3180072000032
25,0.002174255670979619,0.9988906979560852,0.005630903877317905,0.9971281290054321,264.0301244000002
26,0.002142632147297263,0.9989067912101746,0.006144534796476364,0.9968658685684204,264.41403720000017
27,0.002033856464549899,0.99896240234375,0.005673747509717941,0.9971064925193787,263.93401419999645
28,0.0020095088984817266,0.9989758133888245,0.005909818224608898,0.9969862103462219,263.2952355000016
29,0.002000607782974839,0.9989796876907349,0.005497148260474205,0.9971964955329895,263.9216094000003
30,0.001943415030837059,0.9990093111991882,0.0053579844534397125,0.997267484664917,263.75296340000205
31,0.0018981666071340442,0.9990314245223999,0.005875833332538605,0.9970034956932068,264.1599008000012
32,0.0018786678556352854,0.9990420341491699,0.005565184634178877,0.9971616864204407,264.26175610000064
33,0.00183143001049757,0.9990667104721069,0.0054262918420135975,0.9972326159477234,263.7396133000002
34,0.0018168904352933168,0.9990742802619934,0.005500815808773041,0.9971944093704224,264.28851340000256
