label,hd,msd,hd95
1,23.23409080505371,0.3561450714521874,1.0
2,41.99140930175781,0.5057255196716492,1.4820098876953125
3,30.401466369628906,0.43412551088640483,1.0479284524917603
4,110.12802124023438,0.3899194121476211,1.0
5,92.80791473388672,0.43742887225711335,1.0479284524917603
1,3.8066790103912354,0.1593415450134414,0.740997314453125
2,5.875893592834473,0.2212420602479297,0.7410049438476562
3,7.1895952224731445,0.19755631109151317,0.7409992218017578
4,55.0378303527832,0.16581702439248833,0.740997314453125
5,46.238975524902344,0.19237908103851833,0.740997314453125
1,4.920694351196289,0.33784359179837337,1.4485015869140625
1,4.920694351196289,0.33784359179837337,1.4485015869140625
1,4.920694351196289,0.33784359179837337,1.4485015869140625
1,4.920694351196289,0.33784359179837337,1.4485015869140625
1,16.01753807067871,0.7367847066480647,2.597188949584961
1,26.476404190063477,1.1384584982193744,4.0
1,0.9379174930060118,26.476404190063477,1.1384584982193744,4.0
1,0.9379174930060118,0.8830928735099869,26.476404190063477,1.1384584982193744,4.0
