,loss,dice_coef,val_loss,val_dice_coef,epoch_time
0,0.4505237936973572,0.7734615206718445,0.38236358761787415,0.7943430542945862,207.4172344000017
1,0.18253175914287567,0.9072930812835693,0.05442705377936363,0.9722886085510254,212.44391529999848
2,0.0671098455786705,0.9659818410873413,0.01575327292084694,0.9919973015785217,211.71945570000025
3,0.028437167406082153,0.9855889678001404,0.009983563795685768,0.9949264526367188,212.3852098999996
4,0.016130518168210983,0.9918183088302612,0.00823065172880888,0.9958184361457825,212.91943870000068
5,0.010943269357085228,0.9944443106651306,0.006556737702339888,0.9966672658920288,212.09802219999983
6,0.008357959799468517,0.9957529306411743,0.005696890410035849,0.9971035122871399,212.2977575999994
7,0.006737471558153629,0.996573805809021,0.006116167642176151,0.9968864917755127,212.3463044
8,0.0057548051699995995,0.9970721006393433,0.004848110023885965,0.9975314140319824,212.2625164000001
9,0.005049287341535091,0.9974295496940613,0.00435846159234643,0.997780442237854,212.54640800000016
10,0.004525864962488413,0.99769526720047,0.00429517449811101,0.9978119730949402,211.9400353000001
11,0.004087092820554972,0.9979180693626404,0.004290976095944643,0.9978159070014954,212.05992549999974
12,0.0037718696985393763,0.9980784058570862,0.004183495417237282,0.9978687167167664,212.31071260000135
13,0.003508073277771473,0.9982120990753174,0.004151384811848402,0.997886061668396,212.17168360000142
14,0.0033254888840019703,0.9983044862747192,0.003941725939512253,0.9979905486106873,212.00857180000094
15,0.0035545409191399813,0.9981884360313416,0.00412725331261754,0.9978936910629272,212.90921630000048
16,0.003234617877751589,0.9983512759208679,0.0034885252825915813,0.9982209205627441,212.63910229999965
17,0.0028887006919831038,0.9985272884368896,0.003793268231675029,0.9980666041374207,212.07194899999922
18,0.0027194004505872726,0.9986141324043274,0.003796881763264537,0.9980651140213013,212.1329009000001
19,0.0026206383481621742,0.9986640810966492,0.004136553965508938,0.9978899955749512,212.2477476999993
20,0.0025088696274906397,0.9987214207649231,0.0038261651061475277,0.9980499148368835,212.49682930000017
21,0.0024367189034819603,0.9987581968307495,0.004161455202847719,0.9978784322738647,212.62301149999985
22,0.002400171011686325,0.9987765550613403,0.0038528009317815304,0.9980342984199524,212.17775139999867
23,0.002308143535628915,0.9988245368003845,0.003971167374402285,0.9979777336120605,212.02700600000026
24,0.0022540839854627848,0.9988517165184021,0.003955226391553879,0.9979827404022217,212.48884180000096
25,0.002152584260329604,0.9989006519317627,0.0037840132135897875,0.9980704188346863,212.80066070000066
26,0.0021065257024019957,0.9989239573478699,0.0037475875578820705,0.9980862140655518,212.2458998000002
27,0.0020306294318288565,0.9989624619483948,0.0039398581720888615,0.9979888796806335,212.7255612000008
28,0.0019740411080420017,0.9989911317825317,0.0038155950605869293,0.9980515241622925,211.98705520000112
29,0.0019490031991153955,0.9990053176879883,0.003805034328252077,0.998058557510376,211.48012839999865
30,0.001880706287920475,0.9990401268005371,0.003610406769439578,0.9981578588485718,211.04547230000026
31,0.0018428904004395008,0.9990591406822205,0.0038466625846922398,0.9980374574661255,211.46347439999954
32,0.0018171786796301603,0.9990728497505188,0.0035945712588727474,0.9981667995452881,211.41289630000028
33,0.0017725997604429722,0.9990957975387573,0.00378902698867023,0.9980676174163818,211.625346599998
34,0.0017323334468528628,0.9991165995597839,0.003755515441298485,0.9980837106704712,211.67131869999866
