,loss,dice_coef,val_loss,val_dice_coef,epoch_time
0,0.24532851576805115,0.8726279139518738,0.020666901022195816,0.9894839525222778,1948.0231987999998
1,0.015592402778565884,0.9920887351036072,0.005008478183299303,0.9974501729011536,1944.2453650000002
2,0.0055250972509384155,0.9971888065338135,0.0035510454326868057,0.9981911778450012,1935.8670268999995
3,0.0033907790202647448,0.9982728958129883,0.0027963551692664623,0.9985753297805786,1943.3054085000003
4,0.0026208427734673023,0.9986642599105835,0.0025617063511162996,0.9986932277679443,1948.2017673
5,0.002286526607349515,0.9988340735435486,0.002366138156503439,0.9987967610359192,1941.1787189000006
6,0.0020139531698077917,0.9989748001098633,0.002328011905774474,0.9988105297088623,1933.9262999000002
7,0.0018535761628299952,0.9990541338920593,0.002197868889197707,0.9988778233528137,1947.9189289999995
8,0.0017561166314408183,0.9991040825843811,0.0021945892367511988,0.9988802671432495,1993.9968608999989
9,0.00168205751106143,0.9991425275802612,0.0022560516372323036,0.9988495111465454,1939.6872538999996
